"5736 49
5748 00
5748 01
5748 05",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"5748 04
5748 05
5748 06
5748 07","Switch - 10 A-SP -
1 way - 2 module","396
468
2340
2862",10/100
,,"Switch - 10 A-SP -
2 way - 2 module",,10/100
,,"Switch - 10 A-SP -
2 way with indicator & label
holder- 2 module",,10/100
,,"Intermediate switch -
2 module",,10/100
