"4160 96
4161 26
4161 46",Cat.Nos,"Max. opt.
current
AC 3","Max. opt.
current
AC 1","Control
voltage","MRP*
` /
Unit",Pack
,"4161 40
4161 41
4161 42
4161 43
4161 44
4161 46
4161 48
4161 49",50 A,"70 A
70 A
70 A
70 A
70 A
70 A
70 A
70 A",24 V~,"9294
12798
9294
12798
9294
9294
9294
9294",1
,,50 A,,24 V=,,1
,,50 A,,48 V~,,1
,,50 A,,48 V=,,1
,,50 A,,110 V~,,1
,,50 A,,230 V~,,1
,,50 A,,380 V~,,1
,,50 A,,415 V~,,1
