"6793 59
6793 91
6793 61
6793 66
6793 65
6793 75",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"6793 74
6793 75
6793 85
6793 86","Switch with neutral, wired,
1 module","10010
13170
7998
13062",1/5/50
,,"Switch without neutral, with
dimmer option, wired,
2 modules",,1/5/50
,,"Switch dimmer with neutral
150W, 1 module",,1/5/30
,,"Switch dimmer with
neutral, wired, 2 modules",,1/5/30
