Description,"Modules
1 Mod = 17.5mm",Cat. No.,"M.R.P. (`)
Per Unit"
1 AC 16A DP MCB^ + 1 DC 16A DP 500V MCB,2+2,SC221616,1720
1 AC 25A DP MCB^ + 1 DC 16A DP 500V MCB,2+2,SC222516,1720
1 AC 32A DP MCB^ + 1 DC 16A DP 500V MCB,2+2,SC223216,1720
1 AC 32A DP MCB^ + 1 DC 32A DP 500V MCB,2+2,SC223232,1720
