Description,No. of Pins,Cat. Nos.,"M.R.P.
(`)
Per Unit"
"10 A, 2 Pin + SC^",P + N,MPS210S,180
"20 A, 2 Pin + SC^",P + N,MPS220S,200
"20 A, 3 Pin + SC^",3P,MPS320S,275
"32 A, 3 Pin + SC^",3P,MPS332S,465
