"0896 67
0896 68
0896 69
6895 00
6895 02
6895 03
6895 05
6897 20",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"6897 27
6897 28
6897 37","50 mm x 38 mm
(PVC and metal)","40
70
82",9
,,75 mm x 38 mm (metal),,9
,,"100 mm x 38 mm
(PVC and metal)",,9
