"6327 30
6327 40",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0695 80
0695 79
0695 81
0919 45",Adaptor with smoked flap,"


",10
,,"Adaptor with smoked flap
lockable by special tool",,1
,,"Adaptor for RJ socket ensuring
IP 44 waterproofness cable
already connected",,1
,,"Locking tool (used for changing
vandal-proof screws)",,1
