"5736 10
5736 52
5725 63
5736 11
5725 42
5725 43
5725 44
5736 54
5725 49","Switch - 20 A-SP - 1 way
1 module","480
564
504
690
740
1370
1430
1106
1182",20/200
,"Switch - 20 A-SP - 1 way
2 module",,10/100
,"Switch - 20 A-SP - 1 way
with indicator -1 module",,20/200
,"Switch - 20 A-SP - 2 way
with indicator -1 module",,20/200
,"Switch - 20 A-SP - 2 way
with indicator - 2 module",,10/100
,"Switch - 20 A-3 gang -
1 way - 2 module",,10/100
,"Switch - 20 A-3 gang -
2x2 way + 1x1 way -
2 module",,10/100
,"Switch 20 A-DP -
1 way with indicator -
2 module",,10/100
,"Switch - 20 A-DP - 1 way
with indicator and water
heater marking - 2 module",,10/100
