Description,Cat. No.,"M.R.P.
(`)
Per Unit"
Terminal Adaptor for Draw-out Omega ACBs,,
Frame-1 400-2000A N/S/H (Vertical / Horizo,ntal) CL60963OOOO,*
Frame-1 2500A S/H (Vertical),"CL60964OOOO
ntal)",
Frame-2 400-3200A N/S/H (Vertical / Horizo,,
Frame-2 4000A S/H (Vertical),CL60420OOOO,
Frame-2 4000A S/H (Horizontal),CL60316OOOO,
Frame-3 400-4000A H/V (Vertical) #,CL60128OOOO,
Frame-3 400-4000A H/V (Horizontal-Long),CL60073OOOO,
Frame-3 5000A H/V (Horizontal-Long),CL60966OOOO,
Frame-3 5000A H/V (Vertical)#,CL60067OOOO,
Frame-3 6300A H/V (Vertical) #,CL60965OOOO,
