"4167 84
4167 91
4164 36
4164 56",Cat.Nos,Description,,,"MRP*
` /
Unit",,Pack,
,"4164 26
4164 36
4164 46
4164 56",40 A,"22 A
40 A
65 A
85 A",230 V~,,"3220
8008
13762
16926",,1
,,60 A,,230 V~,,,,1
,,100 A,,230 V~,,,,1
,,135 A,,230 V~,,,,1
