"0566 09
0566 34
0566 41
0566 74
0572 34
0589 18
0572 99",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0589 18
0572 99","380 to 415 V, 50/60 Hz,
63 A, 3P + E with provision
for 5 module DX3 protection
380 to 415 V, 50/60 Hz, 63 A,
3P+N+E with provision for
5 module DX3 protection","26796
30196","1
1"
