"0540 06
0540 00
6540 00
0540 70
+ 0540 60
0540 73
0540 73
+ 0540 62",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0540 72▲
0540 73▲","White RAL 9003 with USB,
to be equipped with 1 socket","6734
7338",1
,,"Black RAL 9017 with USB,
to be equipped with 1 socket",,1
