,"6812 18
6812 27
6812 28","16A Power Unit ,AC & Geyser,
4 module","558
1285
1378",1/5
,,"Power Unit with 20A MCB &
16A Plug, 3 module",,1/10
,,"Power Unit with 25A MCB &
16A Plug, 3 module",,1/10
