"0300 92
0300 93
0328 00
0896 44
0896 49
0880 61
0880 64",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0880 61
0880 64","IP66/IK09 screwed
stainl. steel floor box
(with removable lid);
can be equipped
with cable exit accessory Cat.
No 0880 62","21724
25640",1
,,"IP66/IK09 hinged
cover stainl.
steel floor box",,1
