Type,"kVAr
Rating","Voltage
(V)","M.R.P.
(`)
per kVAr"
"Cylindrical Series:
LTCCR",3 to 5,440 V,613
,7.5 to 15,,501
,20 & 25,,474
,1.2 to 5.5,480 V,644
,11.1 & 15,,548
,20 to 27.7,,497
,1.3 to 5,525 V,656
,6.6 to 15,,558
,20 to 33.3,,507
