IDH No.,Product Description,Pack Size,MRP `
302669,LOCTITE 3900 Conformal Coating,500 ml,"1,352"
1786074,LOCTITE LB 8017 Moly Dry Film,12 oz,"3,594"
209752,LOCTITE PC 9660 Maxicoat,1 gal,"28,667"
209750,LOCTITE PC 9660 Maxicoat,12 oz,"3,561"
1649155,LOCTITE SF 7600 Rust Converter,4 litre,"7,140"
160802,LOCTITE SF 7625 Rust Treatment,1 gal,"20,499"
