Description,Cat. No.,"M.R.P.
(`)
Per Unit"
Other Accessories [8538],,
Operation Counter,CL90983OOOO#,*
Door Interlock,CL90978OOOO,
Electrical Position Indication (EPI),CL95826OOOO,
Microswitches for Indication [8536],,
Microswitch for Common Fault Indication (CFI),CL90949OOOO,*
Microswitch for Ready To Close Indication (RTC),CL90953OOOO^,
Microswitch for Shunt Release,CL90951OOOO,
Microswitch for Undervoltage Release,CL90947OOOO,
Microswitch for Spring Charging Indication,ST42672OOOO,
