Accessories for CZ Switch Disconnector,,,,
Frame,Description,CAT No.,"M.R.P. (`)
Per Unit","Std. Pkg.
(Nos.)"
CZ1/CZ2,"Auxiliary
Contact Kit
(1 C/O contact)",CK90805OOOO,485,1
