Description,Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
"Fuse pulling handle for
HF Fuse-link from 2A-63A",SK91185,220,1
"Insulated fuse pulling handle for
Type HN fuse-link from 63A-800A",SF90126,780,1
