"0540 65
0540 67
0540 60
0540 62
0535 98
0535 60",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0535 63
0535 64
0535 65","Flush 12 mod
white finish","7706
9282
7774",1
,,"Flush 12 mod
aluminium finish",,1
,,"Flush 12 mod
black finish",,1
