For Contactor,Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
MO 9 - 45 / MOC 3 - 30,CS94274,475,10
MO 50 - 70 / MOC 40 - 60,CS94093,750,10
MO 80 - 110 / MOC 75 - 100,CS94094,1090,1
MO 140 - 225,CS91057,3050,1
MO 250 - 300,CS90940,4755,1
