"4149 85
4149 90
4149 91",Cat.Nos,"Model
Series",Description,"MRP*
` /
Unit",Pack
,"4149 90
4149 91
4149 92","PMX
7000","MFM (VAF +
W/VA/PF/Wh)
LED meter
Cl 1 with
RS485^
MFM LED
meter Cl 1
MFM LED
meter Cl 1
with RS485",6672,"1
1
1"
,,"PMX
7300",,7954,
,,"PMX
7300",,9490,
