4173 08,Cat.Nos,"Rated
3Ph
Motor",,"Magnetic
release
operating
current (A)",,"MRP*
` /
Unit",,Pack,
,"4173 13
4173 14
4173 15",7.5,14 to 22,,286,,6044,,1
,,11,18 to 26,,338,,6506,,1
,,15,22 to 32,,416,,10810,,1
