,"MNX
9-80","MNX
95-650","MO
9-110","MO
140-300",ML,MX,"MDX
9-110","MCX
01-23","MCX
32-47",MX0,MN0,MO0,MO C,MR,MU-2P
Front add-on possible,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
Side add-on possible,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No
