,Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"6038 57
6038 58","Fixing clip-Signal white
(set of 2 pcs.)","296
834",10
,,"Fixing clip - Grey/Anthracite
(Set of 2 pcs.)",,10
