Model,"Aux
Supply
(V)","C.T.
Secondary
(A)","Device
Code",Cat. No.,"M.R.P.
(`)
Per Unit"
MRP11,20 - 110V AC/DC,1A,32,MRP11A10X00,24500
,,5A,,MRP11A50X00,
,88 - 264V AC/DC,1A,,MRP11B10X00,
,,5A,,MRP11B50X00,
