,"5734 64
5722 26
5724 53
5722 23
5724 52","Skirting light with
LED - 230 V - 3 module","1100
16766
618
506
824",1/5/25
,,"Skirting light with detector
(LED) - 230 V - 2 module",,1/20
,,"Over door light unit (Red)
2 module",,10/100
,,"Over door light unit (White)
2 module",,10/100
,,"Indicator unit with
transparent LED with
coloured labels - 1 module",,10/100
