"6793 06
6793 07
6793 05
6793 16
6792 76
6794 01
6794 04
6794 06
6794 07
6794 13",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"6794 12
6794 13
6794 14
6794 15",20A Switch 1 way 1M,"478
748
796
820",20/200
,,20A DP Switch 1 way 2M,,10/100
,,"20A DP Switch1 way 2M
with Indicator",,10/100
,,20A Switch 2 way 2M,,10/100
