"DRX
125HP
DRX
250HP",240V AC,0271 64,3150,"1
1"
,240V AC,,,
DRX 630,240V AC,4222 48,4044,1
"DRX
125HP
DRX
250HP",415V AC,0271 65,3150,"1
1"
,415V AC,,,
DRX 630,415V AC,4222 49,4044,1
