Model,"Aux.
Supply
(V)","C.T.
Secondary
(A)","Device
Code",Cat. No.,"M.R.P.
(`)
Per Unit"
MC12,20 - 110V AC/DC,1A,"50, 51
or
50N, 51N",MC12AA10X00,14800
,,5A,,MC12AA50X00,
,88 - 264V AC/DC,1A,,MC12AB10X00,
,,5A,,MC12AB50X00,
