Description,Cat. No.,"M.R.P.
(`)
Per Unit"
MDC 6000 LED meter Cl 1 with RS485,WL600011OOOO,27990
MDC 6000 LED meter Cl 0.5S with RS485,WL600031OOOO,30680
MDC 6000 LCD meter Cl 1 with RS485,WC600011OOOO,29065
MDC 6000 LCD meter Cl 0.5S with RS485,WC600031OOOO,31760
