"0300 92
0300 11
0300 12
0300 93
0300 18
0300 19
0328 00
0328 07
0328 03
0328 02","Over floor trunking
50 x 12 mm;
length 2 m, supplied
with cover;
3 Compartments;","622
246
310
846
470
328
1552
274
376
678",54(1)
,Flat angle/floor 50 x 12,,10
,Cover joint/floor 50 x 12,,10
,"Over floor trunking
75 x 18 mm; length 2 m, sup-
plied with cover;
3 compartments;",,36(1)
,Flat angle/floor 75 x 18,,10
,Cover joint/floor 50 x 12,,10
,"Over floor trunking
92 x 20 mm;
Length 2 m, supplied
with cover;
4 Compartments,
equipped with
2 adhesive strips for
better floor fixing",,20(1)
,"End cap
for floor duct 92 x 20",,10
,"Cover joint
for floor duct 92 x 20",,10
,"Flat angle
for floor duct 92 x 20",,5
