"Rating
(A)","Recommended
Motor Rating
at 415V, 3-Ph,
50Hz (KW)","Thermal
Release
range
(A)","Instantaneous
Trip
Current",Cat. No.,"M.R.P.
(`)
Per
Unit","Std.
Pkg.
(Nos.)"
0.16,-,0.1 - 0.16,2.1,ST41904OOOO,3245,1
0.25,0.06,0.16 - 0.25,3.3,ST41905OOOO,3245,1
0.40,0.09,0.25 - 0.40,5.2,ST41906OOOO,3245,1
0.63,0.12,0.40 - 0.63,8.2,ST41907OOOO,3625,1
1.00,0.25,0.63 - 1.00,13,ST41908OOOO,3625,1
1.60,0.55,1.00 - 1.60,20.8,ST41909OOOO,3740,1
2.50,0.75,1.60 - 2.50,32.5,ST41910OOOO,3740,1
4.00,1.50,2.50 - 4.00,52,ST41911OOOO,3815,1
6.30,2.20,4.00 - 6.30,81.9,ST41912OOOO,3845,1
10.00,4.00,6.30 - 10.00,130,ST41913OOOO,4100,1
13.00,5.40,9.00 - 13.00,169,ST41914OOOO,4540,1
16.00,7.50,11.00 - 16.00,208,ST41915OOOO,4885,1
20.00,9.00,14.00 - 20.00,260,ST41916OOOO,5275,1
25.00,12.50,19.00 - 25.00,325,ST41917OOOO,5485,1
32.00,15.00,24.00 - 32.00,416,ST41918OOOO,8900,1
