Product,Aux. Supply,CT Secondary,Cat. No.,"M.R.P.
(`)
Per Unit"
MC2-30M,24 to 110VAC/DC,"1 / 5 Ampere
Site selectable",MC230MAOOO,105000
,80 to 220VAC/DC,,MC230MBOOO,105000
MC2-30MW,24 to 110VAC/DC,,MC230MWAOO,120000
,80 to 220VAC/DC,,MC230MWBOO,120000
