Description,Cat. No.,"M.R.P.
(`)
Per Unit","Std
Pkg.
(Nos.)"
"240 / 360 / 415V, 50Hz for",,,
3 - 30 secs.,ST80328OOOO,1890,1
12 - 120 secs.,ST80329OOOO,1890,1
