Description,No. of Modules,,Cat. Nos.,"M.R.P.
(`)
Per Unit"
,Incomer + Outgoing,,,
IP 43 - Metal Door,,,,
4 way,8,4+4+4,LTTD04M,*
6 way,8,6+6+6,LTTD06M,*
8 way,8,8+8+8,LTTD08M,*
