"Max. Motor
Output at
415V, 3-Ph",,"Relay
Max.
Range
(A)",Description,Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
HP,kW,,,,,
10.0,7.5,9 - 15,MN 16 DOL,SS94351,4815,1
15.0,11.0,14 - 23,MN 25 DOL,SS94352,7360,1
20.0,15.0,20 - 33,MN 32 DOL,SS94353,11875,1
30.0,22.5,30 - 50,MN 45 DOL,SS94017,20315,1
45.0,33.5,45 - 75,MN 65 DOL,SS94018,27815,1
30.0,22.5,28 - 42,ML 3 DOL,SS90722,24960,1
