Rating,"Breaking
Capacity
Icu=Ics=Icw
(1 sec)",Version,Type
800A,50kA,MF,C
1000A,50kA,,
1250A,50kA,,
1600A,50kA,,
2000A,55kA,,
2500A,60kA,,
