Rating,"Modules
1 Mod = 17.5 mm",Cat. No.,"M.R.P.
(`)
Per Unit","Modules
1 Mod = 17.5 mm",Cat. No.,"M.R.P.
(`)
Per Unit","Modules
1 Mod = 17.5 mm",Cat. No.,"M.R.P.
(`)
Per Unit"
,Double Pole (DP),,,Three Pole (TP),,,,,
40A,2,BF204000,530,3,BF304000,920,4,BF404000,1190
63A,2,BF206300,680,3,BF306300,1070,4,BF406300,1245
80A,2,BF208000,865,3,BF308000,1175,4,BF408000,1395
