0328 50,Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0518 17
0516 36
0516 37
0516 38
0516 39",Length 0.5 m,"



",1
,,Length 1 m,,1
,,Length 2 m,,1
,,Length 3 m,,1
,,Length 5 m,,1
