0517 62,Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0517 52
0517 53
0517 54
0517 55",Length 1 m,"


",5
,,Length 2 m,,5
,,Length 3 m,,5
,,Length 5 m,,5
