"0880 16
0880 47
0896 34 +
0896 83 +
0896 85
0896 34 +
0896 83 +
0896 86 +
0896 87",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0896 83
0896 84","Normal load support upto 8 KN
load with deflection <6 mm","26658
45072",1
,,"Heavy load support up to 20
KN load with deflection <3 mm",,1
