Ground Fault Protection,,,,,
Type,"Range
(A)",Cat. No.,"M.R.P.
(`)
Per Unit",CT,"Std.
Pkg.
(Nos.)"
GF1,100 - 200A,ST27745OOOO,9770,Built in CBCT,1
GF2,200 - 400A,ST27746OOOO,14970,Built in CBCT,1
GF11,up to 800A,ST28594OOOO,9055 #,External CT required,1
