0326 66,Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0325 02
0325 03
0325 23","Indoor/outdoor
(glass strands) 4 fibres","

",2000
,,"Indoor/outdoor
(glass strands) 8 fibres",,2000
,,"Outdoor, corrugated steel tape
4 fibres",,2000
