TABLE OF CAPACITIES,,,,,,
,,105 x 50,150 x 50,,195 x 50,
,"Crosssect ion (mm2)
Max. Ø (mm2)",cover 85,cover 65,cover 65,cover 85,cover 85
,Cross-section,4330,3020,3020,5350,5350
Trunking only,,,,,,
,,,,,,
,Max. Ø,28,43,43,55,55
,,,,,,
"With Arteor™ /
support",Cross-section,2300,1470,1470,3320,3320
,,,,,,
,Max. Ø,2 x 24,18,18,33,33
