16 KA,DPX³ 160,"16
25
50
63",4207 10,"14216
14216
14216
14216",1,-,-,-
,,,4207 11,,1,-,-,-
,,,4207 12,,1,-,-,-
,,,4207 13,,1,-,-,-
25 KA,DPX³ 160,"16
25
50
63",4207 14,"16164
16164
16164
16164",1,-,-,-
,,,4207 15,,1,-,-,-
,,,4207 16,,1,-,-,-
,,,4207 17,,1,-,-,-
36 KA,DPX³ 250,"100
160
200
250",4207 18,"28094
28094
29706
31310",1,-,-,-
,,,4207 19,,1,-,-,-
,,,4207 20,,1,-,-,-
,,,4207 21,,1,-,-,-
70 kA,DPX³ 250,"100
160
200
250",4207 22,"27458
27458
29178
30890",1,-,-,-
,,,4207 23,,1,-,-,-
,,,4207 24,,1,-,-,-
,,,4207 25,,1,-,-,-
