"6812 42
6812 50
6812 38
6812 47
6812 33
6812 30
6812 35
6812 66
6812 58",,,,,
,,"6812 56
6812 57
6812 58
6812 59
6812 60
6812 61","6A MCB SP C Curve, 1 module","435
435
435
435
435
435",1/10/100
,,,"10A MCB SP C Curve, 1 module",,1/10/100
,,,"16A MCB SP C Curve, 1 module",,1/10/100
,,,"20A MCB SP C Curve, 1 module",,1/10/100
,,,"25A MCB SP C Curve, 1 module",,1/10/100
,,,"32A MCB SP C Curve, 1 module",,1/10/100
