"5735 70
6890 07
6890 08
6890 09
6890 12
6846 38
6806 12
6806 13
6806 19
6806 33",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"6806 11
6806 12
6806 13
6806 14
6806 19
6806 33","Grey Plexo box & adaptor
with PVC membrane -
1 module","1120
1146
1524
2286
3706
1218",10
,,"Grey Plexo box & adaptor
with PVC membrane -
module",,10
,,"Grey Plexo box & adaptor
with PVC membrane -
module",,10
,,"Grey Plexo box & adaptor
with PVC membrane -
4 module",,5
,,"Grey Plexo box & adaptor
with PVC membrane
- 2 row x 4 module",,5
,,"Grey Plexo flush adaptor
with membrane for
3 module ArteorTM box",,20
