"4161 86
4162 46",Cat.Nos,"Max. opt.
current
AC 3","Max. opt.
current
AC 1","Control
voltage","MRP*
` /
Unit",Pack
,"4162 60
4162 61
4162 62
4162 63",150 A,"210 A
210 A
210 A
210 A",24 V~,"29810
31882
29810
31882",1
,,150 A,,24 V=,,1
,,150 A,,48 V~,,1
,,150 A,,48 V=,,1
