,1,Threadlockers,7 - 9
,2,Thread Sealants,10 - 11
,3,Gasketing Compounds,12 - 13
,4,Retaining Compounds,14 - 15
,5,Instant Adhesives,16 - 17
,6,Hybrid Adhesives,18 - 19
,7,Structural Bonding and Sealing,20 - 22
,8,Polymer Composites & Wearing Compounds,23 - 25
,9,Belt Repair & Urethanes,26 - 27
,10,Protective Coatings,28 - 29
,11,Mould Release Agents,30 - 31
,12,Anti-Seize & Lubricants,32 - 33
,13,Cleaners,34 - 35
,14,Surface Preparation,36 - 37
,15,Others,38 - 39
