"Rating
(A)","Recommended
Motor Rating
at 415V, 3-Ph,
50Hz (KW)","Thermal
Release
range
(A)","Instantaneous
Trip
Current",Cat. No.,"M.R.P.
(`)
Per
Unit","Std.
Pkg.
(Nos.)"
32.00,15.00,24.00 - 32.00,416,ST41919OOOO,11345,1
40.00,20.00,28.00 - 40.00,520,ST41920OOOO,12525,1
50.00,25.00,35.00 - 50.00,650,ST41921OOOO,15610,1
63.00,34.00,45.0 0 - 63.00,819,ST41922OOOO,15900,1
