"0288 02
0288 03
0288 84
0288 82
0288 96
0288 91",Cat.Nos,Description,,MRP*/ ` /Unit,Pack,,,
,"DMX3/DMX3-I 2500, frame - 1",,0289 09,,1,0289 10,,1
,"DMX3/DMX3-I 4000, frame - 2",,0289 11,,1,,,1
,,,,,,0289 12,,
,"DMX3/DMX3-I 6300, frame - 3",,0289 15,,1,,,1
,,,,,,0289 16,,
