"Rating
(A)","Recommended
Motor Rating
at 415V, 3-Ph,
50Hz (KW)","Thermal
Release
range
(A)","Instantaneous
Trip
Current (A)",Cat. No.,"M.R.P.
(`)
Per
Unit","Std.
Pkg.
(Nos.)"
0.16,-,0.1 - 0.16,2.1,ST41889OOOO,2550,1
0.25,0.06,0.16 - 0.25,3.3,ST41890OOOO,2550,1
0.40,0.09,0.25 - 0.40,5.2,ST41891OOOO,2550,1
0.63,0.12,0.40 - 0.63,8.2,ST41892OOOO,2895,1
1.00,0.25,0.63 - 1.00,13,ST41893OOOO,2895,1
1.60,0.55,1.00 - 1.60,20.8,ST41894OOOO,2915,1
2.50,0.75,1.60 - 2.50,32.5,ST41895OOOO,2915,1
4.00,1.50,2.50 - 4.00,52,ST41896OOOO,3020,1
6.30,2.20,4.00 - 6.30,81.9,ST41897OOOO,3020,1
10.00,4.00,6.30 - 10.00,130,ST41898OOOO,3230,1
13.00,5.40,9.00 - 13.00,169,ST41899OOOO,3635,1
16.00,7.50,11.00 - 16.00,208,ST41900OOOO,3970,1
20.00,9.00,14.00 - 20.00,260,ST41901OOOO,4180,1
25.00,12.50,19.00 - 25.00,325,ST41902OOOO,4395,1
32.00,15.00,24.00 - 32.00,416,ST41903OOOO,7810,1
