Description,No. of Pins,Cat. Nos.,"M.R.P.
(`)
Per Unit"
"10 A, 2 Pin + SC^",P + N,MPS210P,175
"20 A, 2 Pin + SC^",P + N,MPS220P,185
"20 A, 3 Pin + SC^",3P,MPS320P,245
"32 A, 3 Pin + SC^",3P,MPS332P,465
