"6896 38 +
6896 31
6896 62
6896 17
6896 78
6896 34 +
6896 31",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"6896 62
6896 17
6896 78",Blank plates for floor box,"404
412
1222",12
,,"Flat support plate
8 module for integration of
Myrius",,1
,,"Waved support plates
For 4 Modules (2x2 Modules)
mechanisms",,4
