"5748 78
5748 79
5748 80
5748 67
5748 68
5748 69","Combi twin USB charger
3.1A type A & A with Euro
Socket - 2 module","2572
3002
3900
4180
3958
5418",1/10/100
,"Combi twin USB charger
3.1A type A & C with Euro
Socket - 2 module",,1/10/100
,"Combi twin USB charger
3.1A type C & C with Euro
Socket - 2 module",,1/10/100
,"Combi twin USB
Charger 3.1A Type A
& C with Multistandard
Socket - 3 Module",,1/5/20
,"Gang Unit-6A
Multistandard Switched
socket with USB 3100mA
type A-2 module",,1/10
,"Gang Unit-6A
Multistandard Switched
socket with USB 3100mA
Type A + C-4 module",,1/5/20
