"6755 81
6755 82
6755 89
6890 07
6890 08
6890 09
6890 10
6733 03
6733 04",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"6890 21
6890 22","Metal surface box-
12 modules (2 rows x 6)
Metal surface box-
18 modules (3 rows x 6)","558
584","1/6
1/4"
