Description,Cat. No.,"M.R.P.
(`)
Per Unit"
"3Ph, 4W TVM 240 V 10 - 60A BM",WR300BC7300,8017
"3Ph, 4W TVM 240 V 10 - 60A BM RS 485 Modbus *",WR300BC73RS485,11436
"3Ph, 4W TVM 240 V 10 - 60A BM with
Hinge type Box",WR300BC73BOXH,9930
