IDH No.,Product Description,Pack Size,MRP `
416032,LOCTITE Frekote 770NC,1 gal,"14,287"
420432,LOCTITE Frekote B15,1 gal,"40,762"
548976,LOCTITE Frekote FMS,1 gal,"20,811"
420461,LOCTITE Frekote PMC Cleaner,1 gal,"13,179"
1661893,LOCTITE Frekote R120,20 litre,"53,145"
