Model,"Type of
Mounting","Relay
Range
(A)",REO 1.1/4,,"REO 1.1G/ 4G
(With in built earth fault protection)",,"Std.
Pkg.
(Nos.)"
,,,Cat. No.,"M.R.P.
(`)
Per Unit",Cat. No.,"M.R.P.
(`)
Per Unit",
"REO
1.1/1.1G","Direct
Mounting on
MO 9-45",0.15 - 0.75,CS90418OOJO,4965,CS90423OOJO,8280,10
,,0.6 - 3,CS90418OOQO,4965,CS90423OOQO,8280,10
,,2.4 - 12,CS90418OOLO,4965,CS90423OOLO,8280,10
,,9 - 45,CS90418OOGO,5585,CS90423OOGO,8565,10
"REO
4/4G","Separate
Mounting",18-90,CS90418OOUO,14700,CS90423OOUO,16275,1
,,72-360,CS90418OORO,23100,CS90423OORO,23415,1
