"DMX SP 2500
Icu = 50 kA",630 A,"6695 36
6695 37
6695 38
6695 39
6695 40
6695 41
6695 78",147478,"1
1
1
1
1
1
1",6695 42,192542,1
,800 A,,147478,,6695 43,192542,1
,1000 A,,155680,,6695 44,204842,1
,1250 A,,178214,,6695 45,233518,1
,1600 A,,201044,,6695 46,253316,1
,2000 A,,249300,,6695 47,296380,1
,2500 A,,290696,,6695 79,346068,1
