Model,"Aux. Supply
(V)","Device
code",Cat. No.,"M.R.P.
(`)
Per Unit"
MV12,20 - 110V AC/DC,27 or 59,MV12AA00X00,14800
,88 - 264V AC/DC,,MV12AB00X00,
