Thermal-Magnetic DN1,,,
3 Pole,,4 Pole,
Cat. No.,"M.R.P.
(`)
Per Unit",Cat. No.,"M.R.P.
(`)
Per Unit"
#,300520,#,391000
#,347020,#,437500
#,306070,#,415900
#,352570,#,462400
#,335200,#,446370
#,381700,#,492870
#,377910,#,491980
#,424410,#,538480
#,426390,#,522210
#,472890,#,568710
#,435460,#,526530
#,481960,#,573030
SL94814,442110,SL94818,543880
SL94816,488610,SL94820,590380
SL94815,512710,SL94819,666670
SL94817,559210,SL94821,713170
#,*,#,*
#,*,#,*
