IDH No.,Product Description,Pack Size,MRP `
864524,"LOCTITE 272 Threadlocker High Strength, High Temperature",250 ml,"8,161"
303440,LOCTITE 2760 Threadlocker,50 ml,"2,956"
531722,LOCTITE 277 Threadlocker High Strength,250 ml,"6,718"
531724,LOCTITE 290 Wicking Grade Threadlocker,50 ml,972
848069,LOCTITE 290 Wicking Grade Threadlocker,250 ml,"4,480"
